path,ext,bytes,loc,hand_written,fully_read,review_status,notes
.cursor/rules/max-file-lines-500.mdc,.mdc,1360,,NO,N/A,BINARY_OR_NON_SOURCE,added at freeze refresh
.dockerignore,(none),206,,NO,N/A,BINARY_OR_NON_SOURCE,
.env.example,.example,10098,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/cm-linas-content-audit.yml,.yml,17515,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/cm-production-cutover.yml,.yml,6359,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/copilot-v2-flags-apply.yml,.yml,1836,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/dashboard-auth-secret-apply.yml,.yml,1287,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/deploy.yml,.yml,3609,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/instagram-login-secrets-apply.yml,.yml,1542,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-app-a-login-config-apply.yml,.yml,2195,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-app-a-scope-audit.yml,.yml,2739,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-app-webhooks-reconcile.yml,.yml,1032,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-comment-runtime-probe.yml,.yml,1327,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-comment-webhooks-reconcile.yml,.yml,1598,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-multi-app-secrets-apply.yml,.yml,2497,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-page-subscription-subscribe.yml,.yml,1634,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-social-atomic-cutover.yml,.yml,1787,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-social-rollback-restore.yml,.yml,1504,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-social-rollback-snapshot.yml,.yml,968,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-social-secrets-apply.yml,.yml,1782,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-social-token-validate.yml,.yml,2068,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/meta-webhook-nginx-setup.yml,.yml,1201,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/model-routing-policy-apply.yml,.yml,1695,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/openai-api-key-apply.yml,.yml,1140,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/prod-preflight-readonly.yml,.yml,10632,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/quality-gates.yml,.yml,6586,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/security-checks.yml,.yml,323,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/subscription-exempt-probe.yml,.yml,7531,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/wa-app-review-connection-source-migrate.yml,.yml,13118,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/wa-cloud-webhook-readonly-probe.yml,.yml,3997,,NO,N/A,BINARY_OR_NON_SOURCE,
.github/workflows/whatsapp-cloud-phase1-apply.yml,.yml,1395,,NO,N/A,BINARY_OR_NON_SOURCE,
.gitignore,(none),3065,,NO,N/A,BINARY_OR_NON_SOURCE,
PERSISTENT_STORAGE_REFACTOR.md,.md,4388,,NO,N/A,BINARY_OR_NON_SOURCE,
README-LOCAL.md,.md,4985,,NO,N/A,BINARY_OR_NON_SOURCE,
alembic.ini,.ini,707,,NO,N/A,BINARY_OR_NON_SOURCE,
alembic/env.py,.py,2084,72,YES,YES,COMPLETE,
alembic/script.py.mako,.mako,617,,NO,N/A,BINARY_OR_NON_SOURCE,
alembic/versions/20260811_wa_app_review_source.py,.py,2058,56,YES,YES,COMPLETE,
alembic/versions/20260811_whatsapp_cloud_coexistence.py,.py,17256,298,YES,YES,COMPLETE,
alembic/versions/20260811_whatsapp_smart_followup.py,.py,9166,184,YES,YES,COMPLETE,
api_config.py,.py,1009,16,YES,YES,COMPLETE,
archive/dashboard/README.md,.md,7422,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/LIVE_CHAT_FIX_SUMMARY.md,.md,5969,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/META_VERIFIED_APP_CUTOVER_RUNBOOK.md,.md,5265,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_FINAL_REPORT.md,.md,1573,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_FIREBASE_MOBILE_AUTH_AUDIT.md,.md,3037,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_IAP_EXTERNAL_CHECKLIST.md,.md,2006,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_MOBILE_BETA_REPORT.md,.md,3646,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_MOBILE_BETA_STATUS.md,.md,2337,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_TESTFLIGHT_GATE.md,.md,3166,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_TIKTOK_SNAP_CAPABILITY_AUDIT.md,.md,1506,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_WAVE0_STATUS.md,.md,2393,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/PHASE2_WEB_STORE_LINKS.md,.md,888,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE0.md,.md,434,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE1.md,.md,473,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE2.md,.md,435,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE3.md,.md,1547,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE4.md,.md,1917,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE5.md,.md,2282,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE6.md,.md,3956,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE7.md,.md,3039,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/PHASE8.md,.md,2900,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/phase0_fixture_inventory.json,.json,959,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/cm_phase_evidence/phase4_migration_conflict_report.json,.json,2333,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/LINAS_AI_SCREEN_BY_SCREEN_MOBILE_DESIGN_HANDOFF.pdf,.pdf,1376741,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/INVENTORY.md,.md,1597,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/LINAS_AI_LANDING_PAGE_DESIGN_IMAGES.zip,.zip,2494344,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/LINAS_AI_LANDING_PAGE_DESIGN_OVERVIEW.jpg,.jpg,367181,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/README_AR.md,.md,1637,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/01-hero.png,.png,242812,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/design-01-hero.jpg,.jpg,112479,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/design-02-features.jpg,.jpg,93529,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/design-03-how-it-works.jpg,.jpg,87916,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/full-page.png,.png,729580,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/slice-bottom.png,.png,127461,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/slice-lower.png,.png,125943,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/slice-mid.png,.png,163988,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/implemented-screenshots/slice-top.png,.png,246050,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/landing/linas-ai-landing-page-full-design.jpg,.jpg,738930,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-1.png,.png,360814,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-2.png,.png,310734,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-3.png,.png,299829,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-4.png,.png,349788,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-5.png,.png,360769,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-6.png,.png,373407,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-7.png,.png,353888,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-8.png,.png,318368,,NO,N/A,BINARY_OR_NON_SOURCE,
archive/docs/design/pdf_pages/page-9.png,.png,311088,,NO,N/A,BINARY_OR_NON_SOURCE,
