sequence_number,path,file_type,size_bytes,line_count,purpose,runtime_surface,static_callers,dynamic_usage_checked,route_or_entrypoint,CI/deployment_usage,migration/data_dependency,security_review,performance_review,disposition,evidence,tests_required,review_status,changing_commit_sha
1,.dockerignore,other,206,17,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
2,.env.example,other,9700,203,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
3,.github/workflows/cm-linas-content-audit.yml,workflow,17515,329,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
4,.github/workflows/cm-production-cutover.yml,workflow,6359,143,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
5,.github/workflows/copilot-v2-flags-apply.yml,workflow,1836,53,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
6,.github/workflows/dashboard-auth-secret-apply.yml,workflow,1082,36,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
7,.github/workflows/deploy.yml,workflow,3548,101,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
8,.github/workflows/instagram-login-secrets-apply.yml,workflow,1333,39,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
9,.github/workflows/meta-app-a-login-config-apply.yml,workflow,2195,59,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
10,.github/workflows/meta-app-a-scope-audit.yml,workflow,2097,62,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
11,.github/workflows/meta-app-webhooks-reconcile.yml,workflow,1032,36,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
12,.github/workflows/meta-comment-runtime-probe.yml,workflow,987,34,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
13,.github/workflows/meta-comment-webhooks-reconcile.yml,workflow,1598,47,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
14,.github/workflows/meta-multi-app-secrets-apply.yml,workflow,2497,58,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
15,.github/workflows/meta-page-subscription-subscribe.yml,workflow,1634,48,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
16,.github/workflows/meta-social-atomic-cutover.yml,workflow,1787,48,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
17,.github/workflows/meta-social-rollback-restore.yml,workflow,1504,46,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
18,.github/workflows/meta-social-rollback-snapshot.yml,workflow,968,34,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
19,.github/workflows/meta-social-secrets-apply.yml,workflow,1782,51,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
20,.github/workflows/meta-social-token-validate.yml,workflow,2068,51,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
21,.github/workflows/meta-webhook-nginx-setup.yml,workflow,990,36,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
22,.github/workflows/model-routing-policy-apply.yml,workflow,1802,53,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
23,.github/workflows/openai-api-key-apply.yml,workflow,949,35,,,,NO,,,,UNREVIEWED,UNREVIEWED,KEEP_AS_IS,phase0_shell_provisional_disposition,,UNREVIEWED,
